Posted Date,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-08-29 14:21:20.095789,Bridge Engineer,Japanese,Project Manager,RiverCrane Vietnam,At office,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Japan,Monday - Friday,Extra salary for OT
2024-08-29 14:21:20.095789,Security,Database,NULL,MB Bank,At office,Ha Noi,IT Product,N/A,1000+,Vietnam,Monday - Friday,
2024-08-29 13:21:20.095789,Business Analyst,QA QC,Data Analyst,Unisofts,At office,Ha Noi,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam,Monday - Friday,No OT
2024-08-29 12:21:20.095789,System Admin,English,IT Support,Adnovum Vietnam,Hybrid,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Switzerland,Monday - Friday,No OT
2024-08-29 12:21:20.095789,Project Manager,Agile,Scrum,NAB Innovation Centre Vietnam,Hybrid,Ho Chi Minh,IT Product,Banking,1000+,Australia,Monday - Friday,No OT
2024-08-29 12:21:20.095789,Data Analyst,Python,SQL,GemCommerce,At office,Ha Noi,IT Product,E-commerce,51-150,Vietnam,Monday - Friday,
2024-08-29 12:21:20.095789,AWS,NodeJS,Golang,Flodesk,At office,Da Nang,IT Product,IT Services and IT Consulting,1-50,United States,Monday - Friday,No OT
2024-08-29 12:21:20.095789,AWS,NodeJS,Golang,Viettel Software Services (A Member of Viettel Group),At office,Ha Noi,IT Product,IT Services and IT Consulting,1-50,United States,Monday - Friday,No OT
2024-08-29 11:21:20.095789,AWS,NodeJS,Golang,"Ohmyhotel&Co VN Co.,Ltd",At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,1-50,United States,Monday - Friday,No OT
2024-08-29 11:21:20.095789,AWS,NodeJS,Golang,ABBANK,At office,Ha Noi,IT Product,IT Services and IT Consulting,1-50,United States,Monday - Friday,No OT
2024-08-29 11:21:20.095789,AWS,NodeJS,Golang,ABBANK,At office,Ha Noi,IT Product,IT Services and IT Consulting,1-50,United States,Monday - Friday,No OT
