Title,Skill 1,Skill 2,Skill 3,Skill 4,Company,Address 1,Address 2,Post date,Salary
Business Analyst,Business Analyst,,,,Công ty TNHH Mascot Việt Nam,Hải Dương: Cẩm Giàng,,Đăng 1 tuần trước,Thoả thuận
Business Analyst (Product),Business Analyst,,,,Công ty TNHH Công Nghệ và Phát Triển Năng Lượng Xanh Việt Nam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Back End Engineer,,,,,Công ty TNHH Công Nghệ và Phát Triển Năng Lượng Xanh Việt Nam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
2D Game Artist,Game,,,,CÔNG TY TNHH PLAYCITY,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Business Analyst,Business Analyst,,,,CÔNG TY TNHH SENSPARK,Hồ Chí Minh: Quận 2,,Đăng 1 tuần trước,"600 - 1,200 USD"
Data Science Intern,Data,,,,Công ty TNHH Teso Global,Hồ Chí Minh: Quận 10,,Đăng 1 tuần trước,Thoả thuận
Ai Engineer Intern,AI,,,,CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI NỘI THẤT ĐẠI QUANG,Hồ Chí Minh: Bình Thạnh,,Đăng 1 tuần trước,8 - 11 triệu
Thực Tập Sinh Ba,,,,,Công ty Cổ phần Công nghệ HiveTech Việt Nam,Toàn Quốc,,Đăng 1 tuần trước,Thoả thuận
Leader SEO/ Trưởng Nhóm SEO Thu Nhập 20 - 40 Triệu (+Hoa Hồng Dự Án) Tại Hồ Chí Minh,Leader,,,,Newwave Solutions JSC,Nước Ngoài,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên Vẽ Minh Họa,,,,,Newwave Solutions JSC,Nước Ngoài,,Đăng 1 tuần trước,Thoả thuận
Java Developer,Java,,,,Newwave Solutions JSC,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,10 - 15 triệu
Nhân Viên Kỹ Thuật Máy Văn Phòng,,,,,Newwave Solutions JSC,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,16 - 25 triệu
Middle - Senior Golang,Golang,,,,Newwave Solutions JSC,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,16 - 25 triệu
Chuyên Viên Kiểm Thử(Manual Tester)-Dự Án NgânHàng,Tester,,,,Newwave Solutions JSC,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,25 - 35 triệu
Chuyên Viên Kiểm Thử (Manual Tester),Tester,,,,CÔNG TY TNHH CÔNG NGHỆ BLUE BELT,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Unity Developer Có Kinh Nghiệm Up Apple Store,Unity,,,,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,Hà Nội: Hoàng Mai,,Đăng 1 tuần trước,10 - 15 triệu
Lập Trình WINFORM .NET,.NET,,,,Beetechsoft,Hồ Chí Minh: Quận 1,,Đăng 1 tuần trước,Thoả thuận
Flutter Developer,Flutter,,,,CÔNG TY TNHH AMARIS VIỆT NAM,Hồ Chí Minh,,Đăng 1 tuần trước,Thoả thuận
AI Engineer,AI,,,,CÔNG TY TNHH AMARIS VIỆT NAM,Hà Nội,,Đăng 1 tuần trước,Thoả thuận
Business Analyst (Dự Án Banking),Business Analyst,,,,Công Ty Cổ Phần Be Group,Hồ Chí Minh: Quận 2,,Đăng 1 tuần trước,Thoả thuận
Lập Trình Viên Java Dự Án Banking,Java,,,,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,Hà Nội,,Đăng 1 tuần trước,Tới 15 triệu
