Title,Skill 1,Skill 2,Skill 3,Skill 4,Company,Address 1,Address 2,Post date,Salary
Android Developer (Mid-Sen) - Thu Nhập Upto 60 Triệu - Product Top Global,Android,,,,CÔNG TY CỔ PHẦN IKAME GLOBAL,Hà Nội: Đống Đa, Cầu Giấy,Đăng 2 ngày trước,Tới 60 triệu
Quản Trị Hệ Thống (SYSTEM ADMIN),System Admin,,,,Ngân Hàng TMCP Công Thương Việt Nam (VietinBank),Hà Nội,,Đăng 2 ngày trước,Thoả thuận
Business Analyst,Business Analyst,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO ALTISSS,Hồ Chí Minh: Quận 1,,Đăng 2 ngày trước,400 - 700 USD
Product Owner - Tại Hồ Chí Minh - Thu Nhập Hấp Dẫn,Product Owner,,,,Công ty CP Tiếp thị số Tô Quà,Hồ Chí Minh: Tân Bình,,Đăng 3 ngày trước,Thoả thuận
Nhân Viên Kiểm Thử Phần Mềm (Automation/Manual),,,,,Công ty TNHH Tap Hospitality Vietnam,Hà Nội: Cầu Giấy,,Đăng 3 ngày trước,Thoả thuận
Chuyên Viên Quản Trị Cơ Sở Dữ Liệu/ Quản Trị Dữ Liệu Tại Hà Nội/ Thu Nhập Cạnh Tranh Hấp Dẫn/ Nghỉ T7 + CN,,,,,CÔNG TY CỔ PHẦN THÔNG TIN TÍN DỤNG FINTECH VIỆT NAM,Hà Nội: Long Biên,,Đăng 4 ngày trước,Thoả thuận
Chuyên Viên Bảo Mật An Toàn Hệ Thống CNTT Tại Hà Nội/ Thu Nhập Cạnh Tranh Hấp Dẫn/ Nghỉ T7 + CN,,,,,CÔNG TY CỔ PHẦN THÔNG TIN TÍN DỤNG FINTECH VIỆT NAM,Hà Nội: Long Biên,,Đăng 4 ngày trước,Thoả thuận
"Nhân Viên Marketing Online (Google Adw), Thu Nhập Lên Đến 30 Triệu Tại Hà Nội",,,,,CÔNG TY TNHH TRUYỀN THÔNG MEDIA POWER,Hà Nội: Hai Bà Trưng,,Đăng 4 ngày trước,8 - 30 triệu
Game Developer - 2 Năm Kinh Nghiệm - Lương Up To 20m,Game,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 4 ngày trước,15 - 20 triệu
2D Artist - 2 Năm Kinh Nghiệm - Thu Nhập Từ 15tr - 25tr,,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 4 ngày trước,15 - 25 triệu
UA Game/ UA Marketing (Game Mobile) - Offer Up To 17M - Đi Làm Ngay,Mobile,Game,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 4 ngày trước,15 - 17 triệu
Nhân Viên Tester (Ba/ QC/ Tester),Tester,,,,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,Hà Nội: Cầu Giấy,,Đăng 4 ngày trước,12 - 18 triệu
Account Manager,Manager,,,,CÔNG TY TNHH CLOUD ACE,Hồ Chí Minh: Quận 4,,Đăng 5 ngày trước,Thoả thuận
Cloud System Engineer,Cloud,System Engineer,,,Công Ty TNHH LG CNS VIỆT NAM,Hà Nội: Nam Từ Liêm,,Đăng 5 ngày trước,Thoả thuận
"Chuyên Viên Phát Triển Phần Mềm IT [Hà Nội] - Thu Nhập Cạnh Tranh, Nhiều Đãi Ngộ Hấp Dẫn",,,,,Ngân Hàng Bảo Việt,Hà Nội: Hoàn Kiếm,,Đăng 5 ngày trước,Thoả thuận
"Chuyên Viên Tư Vấn Giải Pháp Công Nghệ [Hà Nội/ Hồ Chí Minh] - Hoa Hồng Lũy Tiến Lên Đến 30%, Được Đào Tạo Bài Bản, Chuyên Nghiệp",,,,,Công ty cổ phần Công nghệ Sapo,Hà Nội: Ba Đình,Hồ Chí Minh: Quận 11,Đăng 5 ngày trước,10 - 25 triệu
"Chuyên Viên Vận Hành, Giám Sát Hệ Thống Thẻ",,,,,Ngân hàng Hợp tác xã Việt Nam,Hà Nội: Cầu Giấy,,Đăng 5 ngày trước,Thoả thuận
"Full Stack Developer (React, .NET, C#)",C#,.NET,,,Công Ty TNHH LG CNS VIỆT NAM,Hà Nội: Nam Từ Liêm,,Đăng 5 ngày trước,Thoả thuận
Chuyên Viên Phân Tích Dữ Liệu (Data Analyst) - Thu Nhập Từ 18 Triệu Trở Lên,Data Analyst,Data,,,Công ty Cổ phần Thương Mại và Đầu Tư Gia Vũ,Hà Nội: Thanh Xuân,,Đăng 5 ngày trước,18 - 25 triệu
Software Developer (Node.Js/Java/PHP/Python/Go) Hà Nội,Java,PHP,Python,,CÔNG TY CỔ PHẦN TOKYO TECH LAB VIỆT NAM,Hà Nội: Nam Từ Liêm,,Đăng 5 ngày trước,15 - 30 triệu
Video Editor (Fresher),,,,,SonatGame Studio,Hà Nội: Cầu Giấy,,Đăng 5 ngày trước,Tới 15 triệu
Game Designer - Thu Nhập Up To 30M - Từ 2 Năm Kinh Nghiệm - Đi Làm Ngay Tại Cầu Giấy,Designer,Game,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 6 ngày trước,20 - 30 triệu
Vận Hành Game - Thu Nhập Up To 14M - Từ 1 Năm Kinh Nghiệm - Đi Làm Ngay,Game,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 6 ngày trước,10 - 14 triệu
Lập Trình Viên Java,Java,,,,TỔNG CÔNG TY CỔ PHẦN BƯU CHÍNH VIETTEL,Hà Nội: Cầu Giấy,,Đăng 6 ngày trước,15 - 55 triệu
Kỹ Sư Phát Triển Trí Tuệ Nhân Tạo AI Từ 2 Năm Kinh Nghiệm Tại Hà Nội,AI,,,,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIẢI PHÁP SAO MAI,Hà Nội: Cầu Giấy,,Đăng 6 ngày trước,8 - 12 triệu
Product Owner (Product Manager/BA Leader) Offer Từ 1200$ Chế Độ Hấp Dẫn,Manager,Product Manager,Product Owner,Leader,Công Ty Cổ Phần Công Nghệ SellerSmith,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,"1,200 - 2,000 USD"
Product Owner ( Wage Up To 40M),Product Owner,,,,EDUPIA,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Tới 40 triệu
Chuyên Viên Chính Vận Hành POS - Hà Nội & HCM,,,,,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),Hà Nội: Đống Đa,,Đăng 1 tuần trước,Thoả thuận
Lập Trình Viên Backend (Python) Thu Nhập Từ 20 - 30 Triệu Yêu Cầu Kinh Nghiệm 3 Năm,Python,,,,Công ty TNHH hearme,Hà Nội: Hoàn Kiếm,,Đăng 1 tuần trước,20 - 30 triệu
Nhân Viên Marketing Website - Facebook,Web,,,,CÔNG TY CỔ PHẦN QUẢN TRỊ THÔNG MINH ASIA,Hồ Chí Minh,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên Biên Dịch Tiếng Nhật - Nhận Việc Ngay,,,,,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI & DỊCH VỤ FASTCODING VIỆT NAM,Đà Nẵng: Sơn Trà,,Đăng 1 tuần trước,"500 - 1,000 USD"
Kỹ Sư Phát Triển Phần Mềm (C/C++/Java/Golang/Android/IOS),Android,C++,Golang,iOS,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Hà Nội: Tây Hồ, Nam Từ Liêm,Đăng 1 tuần trước,"650 - 2,200 USD"
Nhân Viên Triển Khai Dự Án - Business Analyst (BA) - Lương Khởi Điểm 8-15 Triệu + Thưởng + Phụ Cấp (Yêu Cầu Nam),Business Analyst,AI,,,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,8 - 15 triệu
Lập Trình Viên Java/ VueJs/ Angular/C# - Lương Thưởng Hấp Dẫn Thoả Thuận Theo Năng Lực,Angular,C#,Java,VueJS,Công ty TNHH Tap Hospitality Vietnam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Thực Tập Sinh Quản Lý Dự Án CNTT,,,,,SVTECH,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Trên 5 triệu
Lập Trình Viên Frontend Mobile App Thu Nhập Từ 20 - 30 Triệu Yêu Cầu Kinh Nghiệm 3 Năm,Mobile,,,,Công ty TNHH hearme,Hà Nội: Hoàn Kiếm,,Đăng 1 tuần trước,20 - 30 triệu
Chuyên Viên Backend -API ( Thu Nhập 15-22tr/ Tháng) Tại Hà Nội,,,,,CÔNG TY CỔ PHẦN TẦM NHÌN QUỐC TẾ ALADDIN,Hà Nội: Hà Đông,,Đăng 1 tuần trước,15 - 20 triệu
Nhân Viên Kinh Doanh HCM - Làm Giờ Mỹ (Ca Đêm) - (Lương 10tr -15tr + Thưởng Hấp Dẫn),,,,,CÔNG TY TNHH LEVINCI,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,10 - 15 triệu
Front End Developer,,,,,CÔNG TY TNHH DỊCH VỤ DU LỊCH NGÔI NHÀ PHƯƠNG NAM,Hồ Chí Minh: Gò Vấp,,Đăng 1 tuần trước,Thoả thuận
Process Quality Assurance,,,,,Công Ty TNHH LG CNS VIỆT NAM,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,Thoả thuận
"Product & Growth Senior Manager - TP. HCM/Remote - Up To $3,000 + Stock Options",Manager,,,,CÔNG TY TNHH TINAI TECHNOLOGIES,Hồ Chí Minh,Toàn Quốc,Đăng 1 tuần trước,"1,500 - 3,000 USD"
Lập Trình .Net,.NET,,,,CÔNG TY CỔ PHẦN STOCKPROXX,Hà Nội: Hai Bà Trưng,,Đăng 1 tuần trước,18 - 25 triệu
Kỹ Sư Cầu Nối Tiếng Nhật BrSE - Lương Upto 3000$ - Làm Việc Tại Hà Đông,,,,,công ty cổ phần Data Impact,Hà Nội: Hà Đông,,Đăng 1 tuần trước,"Tới 3,000 USD"
Data Governance (Senior/Expert) - Tại Hà Nội - Thu Nhập 25- 60 Triệu,Data,,,,Công ty CP Kinh doanh F88,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,25 - 60 triệu
"Customer Support For ERP Software (No Experience, Fluent English, 8M-12M)",English,ERP,,,Công ty TNHH Synergix Technologies Việt nam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,8 - 12 triệu
"Java Developer - 3 Năm KN, Ưu Tiên Có Tiếng Anh",Java,,,,CÔNG TY TNHH SOFTROAD,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,25 - 35 triệu
User Acquisition Executive / Marketing Advertiser,,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ AMENO,Hồ Chí Minh: Quận 5,,Đăng 1 tuần trước,15 - 25 triệu
"Biên, Phiên Dịch IT (IT Comtor) Làm Việc Tại Huế",,,,,Công ty TNHH hệ thống Saishunkan Việt Nam,Thừa Thiên Huế: TP Huế,,Đăng 1 tuần trước,Thoả thuận
Playable Ads,,,,,Công ty TNHH BraveZone,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,8 - 15 triệu
Nhân Viên Kinh Doanh / Sales Consultant/Tư Vấn Giải Pháp Phần Mềm Quản Trị ( Thu Nhập Upto 30tr),,,,,Công ty cổ phần Base Enterprise,Hồ Chí Minh: Quận 3,,Đăng 1 tuần trước,8 - 20 triệu
Cần Thơ & 3 nơi khác,,,,,công ty TNHH TMDV XNK Hải Minh,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,10 - 20 triệu
Hồ Chí Minh,,,,,CÔNG TY TNHH FIMETECH,Hà Nội: Hai Bà Trưng,,Đăng 2 tuần trước,15 - 23 triệu
Hồ Chí Minh,,,,,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HÀNG ĐẦU,Hồ Chí Minh: Gò Vấp,,Đăng 2 tuần trước,30 - 60 triệu
Nhân Viên SEO Marketing/Seo Website - Thu Nhập Từ 10 Triệu,Web,,,,Công ty TNHH Nippon Steel Metal Products Vietnam,Hà Nội,,Đăng 2 tuần trước,Tới 50 triệu
Nhân Viên PHP Laravel,Laravel,PHP,,,BỆNH VIỆN ĐA KHOA HỒNG NGỌC PHÚC TRƯỜNG MINH,Hà Nội: Nam Từ Liêm,,Đăng 2 tuần trước,10 - 18 triệu
"Fullstack Developer (Chuyên Java, Angular) - Kinh Nghiệm 5 Năm",Angular,Java,,,CÔNG TY TNHH NEWIT VIETNAM,Hồ Chí Minh: Tân Phú,Hà Nội: Cầu Giấy,Đăng 3 tuần trước,"1,200 - 2,300 USD"
Fullstack Developer (Yêu Cầu 3 Năm Kinh Nghiệm),,,,,Công ty Cổ phần MISA,Hà Nội: Bắc Từ Liêm, Cầu Giấy,Đăng 4 tuần trước,Tới 25 triệu
Business Intelligence Analyst/Chuyên Viên Phân Tích Quản Trị (BI),Business Intelligence,,,,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ALETECH,Hà Nội: Cầu Giấy,,Đăng 1 tháng trước,"Tới 2,700 USD"
Kỹ Sư Cầu Nối BrSE - Tiếng Nhật N2 & Biết Tech - Thu Nhập Upto $2300,,,,,Công ty cổ phần giải pháp MKT,Hà Nội: Thanh Xuân,,Đăng 1 tháng trước,Trên 20 triệu
Kế Toán Phân Tích Nghiệp Vụ Phần Mềm - Thu Nhập Đến 25 Triệu - Tại Hà Nội,,,,,Công ty CP Cơ điện Trần Phú,Hà Nội: Long Biên,,Đăng 1 tháng trước,Thoả thuận
"Senior Software Architect (Lương Upto 2,700 Usd) Tại Hà Nội",Software Architect,,,,CÔNG TY CỔ PHẦN TƯ VẤN DỊCH VỤ ĐÀO TẠO AUM VIỆT NAM,Hà Nội: Cầu Giấy,,Đăng 1 tháng trước,Thoả thuận
"Nhân Viên Kinh Doanh ( Chỉ Tuyển Nam ) Tại 35 Lê Văn Thiêm, Hà Nội - Thu Nhập Hấp Dẫn - Đi Làm Ngay",,,,,CÔNG TY TNHH ISB VIỆT NAM,Hồ Chí Minh: Tân Bình,,Đăng 2 ngày trước,8 - 25 triệu
Chuyên Viên IT Quản Trị Hệ Thống (System Admin/ IT Support) Từ 2 Năm Kinh Nghiệm - Tại Hà Nội,IT Support,System Admin,,,Công ty CP Fint Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,Thoả thuận
"Thực Tập Sinh Lập Trình Viên Odoo Fresher - Phúc Lợi Tốt, Thu Nhập Cao So Với Thị Trường",,,,,Công ty TNHH công nghệ Amtran Việt Nam,Hải Phòng: Thủy Nguyên,,Đăng 2 ngày trước,Thoả thuận
IT Communicator,,,,,CÔNG TY TNHH THIẾT BỊ THÔNG MINH O-TECH VIỆT NAM,Hà Nội,,Đăng 4 ngày trước,Thoả thuận
Phó Phòng Kinh Doanh Dự Án Phần Mềm (B2B),,,,,Công Ty Cổ Phần Công Nghệ SellerSmith,Hà Nội: Nam Từ Liêm,,Đăng 5 ngày trước,"1,000 - 1,500 USD"
Kỹ Sư SE - Kỹ Sư IT Vận Hành,,,,,Alpaca Solutions,Hồ Chí Minh: Quận 9, Thủ Đức,Đăng 6 ngày trước,12 - 16 triệu
Sale Admin,,,,,CÔNG TY TNHH TADA LABS,Hồ Chí Minh: Bình Thạnh,,Đăng 6 ngày trước,6 - 8 triệu
Scrum Master/ Project Manager,Manager,Project Manager,Scrum,,Công Ty Cổ Phần Công Nghệ SellerSmith,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,"1,200 - 1,700 USD"
"Nhân Viên Lập Trình - Mức Lương Từ 12 Triệu - 16 Triệu - Quận 9, Thủ Đức Hồ Chí Minh",,,,,Công ty TNHH Digital Innovation,Hà Nội: Hoàng Mai,,Đăng 1 tuần trước,5 - 6 triệu
Nhân Viên Kinh Doanh Sản Phẩm Phần Mềm,,,,,CÔNG TY TNHH ISB VIỆT NAM,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,4 - 6.9 triệu
Data Analyst (English) Chế Độ Hấp Dẫn,Data Analyst,English,Data,,Công ty TNHH Mediastep Software Việt Nam,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,"Trên 2,000 USD"
Nhân Viên Gắn Nhãn Dữ Liệu - Data Labeling,Data,,,,Công Ty Cổ Phần Thương Mại Và Đầu Tư Five Grains,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,13 - 23 triệu
Internship Java ( Japanese N4),Japanese,Java,,,Công Ty Cổ Phần Tập Đoàn BaHa,Hồ Chí Minh: Quận 2,,Đăng 1 tuần trước,7 - 11 triệu
Junior QC/Manual Tester Salary Up To 30M,Tester,,,,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN HSD,Hà Nội: Hà Đông,,Đăng 1 tuần trước,Thoả thuận
Data Analyst - Thu Nhập Lên Đến 20 Triệu/Tháng (Yêu Cầu Trên 1 Năm Kinh Nghiệm),Data Analyst,Data,,,Beetechsoft,Hà Nội: Thanh Xuân,Hồ Chí Minh: Quận 1,Đăng 2 tuần trước,10 - 40 triệu
Nhân Viên Thiết Kế Đồ Họa - Đi Làm Ngay - Thu Nhập Từ 7 - 11 Triệu / Tháng,,,,,Công ty cổ phần phần mềm ITSOL Holdings,Hà Nội: Hoàn Kiếm,,Đăng 2 tuần trước,15 - 28 triệu
Biên Phiên Dịch Tiếng Nhật (IT Comtor),,,,,Công ty cổ phần phần mềm ITSOL Holdings,Hà Nội: Hoàn Kiếm,,Đăng 2 tuần trước,15 - 28 triệu
Java Developer - 2 Năm Kinh Nghiệm - Upto 40 Triệu,Java,,,,Công ty cổ phần phần mềm ITSOL Holdings,Hà Nội: Hoàn Kiếm,,Đăng 2 tuần trước,15 - 28 triệu
Angular Developer ( Thu Nhập Upto 28 Triệu),Angular,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ TÀI CHÍNH FINRA CAPITAL,Hà Nội: Đống Đa,,Đăng 2 tuần trước,Thoả thuận
IOS Developer ( Thu Nhập Upto 28 Triệu ),iOS,,,,CÔNG TY TNHH SYSTEMEXE VIỆT NAM,Hà Nội: Cầu Giấy,,Đăng 3 tuần trước,Thoả thuận
Android Developer ( Java) - (Thu Nhập Upto 28 Triệu),Android,Java,,,CÔNG TY TNHH SYSTEMEXE VIỆT NAM,Cần Thơ: Ninh Kiều,,Đăng 3 tuần trước,Thoả thuận
Chuyên Viên Nghiên Cứu Và Phát Triển Sản Phẩm,,,,,Ngân Hàng TMCP An Bình,Hà Nội,,Đăng 3 tuần trước,"1,000 - 2,200 USD"
Project Manager/Software System Support Engineer (Tiếng Nhật) [Hà Nội],Manager,Project Manager,,,Beetechsoft,Hà Nội: Thanh Xuân,,Đăng 1 tháng trước,15 - 25 triệu
Fullstack Developer - Thu Nhập Hấp Dẫn - [Cần Thơ],,,,,CÔNG TY TNHH ISB VIỆT NAM,Hồ Chí Minh: Tân Bình,,Đăng 1 tháng trước,Thoả thuận
Back End Developer (Khối Công Nghệ),,,,,ENGLISHWING VIETNAM,Hồ Chí Minh: Bình Thạnh,,Đăng 20 giờ trước,"700 - 1,500 USD"
IT Comtor Tiếng Nhật (N1/N2)- Từ 1 Năm Kinh Nghiệm- Upto 25 Triệu/Tháng Tại Hà Nội,,,,,ENGLISHWING VIETNAM,Hồ Chí Minh: Bình Thạnh,,Đăng 20 giờ trước,"1,000 - 2,000 USD"
B2B Business Development ( Sales),,,,,ENGLISHWING VIETNAM,Hồ Chí Minh: Bình Thạnh,,Đăng 20 giờ trước,8 - 12 triệu
Fullstack Developer,,,,,Công Ty Cổ Phần Truyền Thông GAPIT,Hà Nội: Ba Đình,,Đăng 1 ngày trước,15 - 20 triệu
Tech Lead (Fullstack),,,,,CÔNG TY TNHH PUZZLE STUDIO,Hồ Chí Minh: Tân Bình,,Đăng 1 ngày trước,Thoả thuận
Nhân Viên Content Marketing,,,,,NHÀ SÁCH TIẾN THỌ,Hà Nội: Thanh Xuân,,Đăng 1 ngày trước,Thoả thuận
Junior Business Analyst,Business Analyst,,,,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,Hà Nội: Nam Từ Liêm,,Đăng 1 ngày trước,30 - 60 triệu
Data Manager,Manager,Data,,,CÔNG TY TNHH PUZZLE STUDIO,Hồ Chí Minh: Tân Bình,,Đăng 1 ngày trước,Thoả thuận
Senior Full-Stack Developer (.NET/Angular),Angular,.NET,,,Công Ty Cổ Phần Funius,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,10 - 15 triệu
Trưởng Nhóm Lập Trình (Developer Team Leader),Team Leader,Leader,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ & TRUYỀN THÔNG ALARIC,Hà Nội: Bắc Từ Liêm,,Đăng 2 ngày trước,Thoả thuận
Artist Leader,Leader,,,,FPT Software,Đà Nẵng: Ngũ Hành Sơn,,Đăng 2 ngày trước,Thoả thuận
AI Prompt Staff,AI,,,,Công ty cổ phần phần mềm ITSOL Holding,Hà Nội: Hoàn Kiếm,,Đăng 2 ngày trước,18 - 28 triệu
Nhân Viên Kinh Doanh Tư Vấn Phần Mềm BONBON,,,,,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,Hà Nội: Nam Từ Liêm,,Đăng 2 ngày trước,Thoả thuận
Senior Data Engineer (English),English,Data,,,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,Hà Nội: Nam Từ Liêm,,Đăng 2 ngày trước,Tới 35 triệu
IOS Developer,iOS,,,,Công ty cổ phần phần mềm ITSOL Holding,Hà Nội: Hoàn Kiếm,,Đăng 2 ngày trước,18 - 28 triệu
Intern Backend Developer,,,,,Công ty TNHH 1C Việt Nam,Hà Nội: Hai Bà Trưng,,Đăng 2 ngày trước,Thoả thuận
Python Developer,Python,,,,Công ty Cổ phần Kaopiz Software,Hà Nội: Nam Từ Liêm,,Đăng 2 ngày trước,Tới 35 triệu
Android Developer,Android,,,,Nissho Electronics Việt Nam,Hà Nội: Đống Đa,,Đăng 2 ngày trước,15 - 40 triệu
Cần Thơ & 3 nơi khác,,,,,Công ty Cổ phần Điện Cơ Thống Nhất,Hà Nội: Hoàng Mai,,Đăng 2 ngày trước,12 - 14 triệu
Hồ Chí Minh,,,,,CÔNG TY TNHH SẢN XUẤT VÀ DỊCH VỤ CMC,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,15 - 18 triệu
Hồ Chí Minh,,,,,CÔNG TY TNHH THE ONE VIETNAM,Hồ Chí Minh: Tân Bình,,Đăng 2 ngày trước,Thoả thuận
Trưởng Nhóm Phát Triển Quan Hệ Đối Tác,,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ FLYER,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,Tới 20 triệu
Python Developer (Không Yêu Cầu Tiếng Anh),Python,,,,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ MIGI,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,Thoả thuận
Odoo Developer,,,,,CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM,Hà Nội: Nam Từ Liêm,,Đăng 2 ngày trước,"1,000 - 3,000 USD"
Chuyên Viên Công Nghệ Thông Tin,,,,,CÔNG TY TNHH GIẢI PHÁP ỨNG DỤNG KỸ THUẬT VIỆT NAM,Hà Nội: Long Biên,,Đăng 2 ngày trước,Thoả thuận
Chuyên Viên Sản Phẩm AI Máy Tính,AI,,,,Woori Bank Vietnam,Hà Nội: Nam Từ Liêm,,Đăng 2 ngày trước,Thoả thuận
Web Developer,Web,,,,Công ty TNHH BITCOVER,Hồ Chí Minh: Tân Bình,,Đăng 2 ngày trước,Thoả thuận
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),Business Analyst,,,,Công ty Cổ phần Kaopiz Software,Hà Nội: Nam Từ Liêm,,Đăng 2 ngày trước,Thoả thuận
Business Development,,,,,CÔNG TY TNHH W2SOLUTION VIỆT NAM,Hồ Chí Minh: Quận 3,,Đăng 2 ngày trước,Thoả thuận
Senior Data Engineer (Signing Bonus - 0.5 Month),Data,,,,Công ty cổ phần Công nghệ Haravan,Hồ Chí Minh: Quận 11,,Đăng 2 ngày trước,10 - 30 triệu
Nhân Viên CAE,,,,,"Quintet Systems Co., Ltd.",Hồ Chí Minh: Quận 1,,Đăng 2 ngày trước,Thoả thuận
Java Developer,Java,,,,"Quintet Systems Co., Ltd.",Hồ Chí Minh: Quận 1,,Đăng 2 ngày trước,Thoả thuận
Front-End Developer(React/React Native),React Native,,,,"Quintet Systems Co., Ltd.",Hồ Chí Minh: Quận 1,,Đăng 2 ngày trước,Thoả thuận
Intern Backend Developer,,,,,"Quintet Systems Co., Ltd.",Hồ Chí Minh: Quận 1,,Đăng 2 ngày trước,Thoả thuận
"Lập Trình Viên .NET DEVELOPER (C#, ASP.NET)",ASP.NET,C#,.NET,,"PIXTA Vietnam Co., Ltd.",Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,10 - 15 triệu
Sales Consultant,,,,,FPT Software,Đà Nẵng: Ngũ Hành Sơn,,Đăng 2 ngày trước,Thoả thuận
Vue3 Nuxt3 Developer (Front End),,,,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 26 triệu
Server Developers,,,,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 26 triệu
React Native Developer (Mobile),React Native,Mobile,,,FPT Software,Đà Nẵng: Ngũ Hành Sơn,,Đăng 2 ngày trước,Thoả thuận
Korean-English Interpreter,English,ERP,,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 26 triệu
Legal And Compliance Officier,,,,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 26 triệu
Senior Automation Tester (English),Automation Test,English,Tester,,FPT Software,Đà Nẵng: Ngũ Hành Sơn,,Đăng 2 ngày trước,Thoả thuận
Flutter Developer,Flutter,,,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 26 triệu
AI Engineer (C/C++/Python),C++,Python,AI,,FPT Software,Đà Nẵng: Ngũ Hành Sơn,,Đăng 2 ngày trước,Thoả thuận
Team Leader (Angular),Angular,Team Leader,Leader,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 26 triệu
Automation Tester (Dự Án Banking),Automation Test,Tester,,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 26 triệu
Automation Tester (Chuyên Viên Kiểm Thử),Automation Test,Tester,,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 25 triệu
Team Leader (Java),Java,Team Leader,Leader,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,20 - 26 triệu
Lập Trình Viên Java (Dự Án Banking),Java,,,,FPT Software,Hà Nội: Cầu Giấy,,Đăng 2 ngày trước,Thoả thuận
Senior Java Developer,Java,,,,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội,,Đăng 2 ngày trước,Thoả thuận
